"site" "cam" "count" "dist" "theta"
"69" 1 1 3 0.004467606 0.556216453
"70" 1 1 3 0.002479817 0.221990078
"127" 1 1 3 0.001676983 0.416750107
"183" 1 1 3 0.005615118 0.078458038
"5" 1 3 2 0.000570369 0.013311221
"20" 1 3 2 0.001416433 0.111454862
"45" 1 4 3 0.004701027 0.335972422
"61" 1 4 2 0.004594419 0.232902682
"99" 1 4 3 0.003326459 0.339375975
"187" 1 4 2 0.003549556 0.348970141
"1" 1 5 1 0.002257285 0.509068619
"26" 1 5 1 0.003741087 0.283248707
"104" 1 5 2 0.00318948 0.126175066
"161" 1 5 1 0.005295943 0.330564622
"19" 1 6 3 0.004143066 0.156228251
"147" 1 6 3 0.003129633 0.578532543
"27" 1 7 3 0.00432854 0.209046667
"155" 1 7 3 0.004296349 0.22648118
"72" 1 8 1 0.003160085 0.043850515
"80" 1 8 1 0.002052024 0.095958741
"83" 1 8 1 0.004158026 0.358931131
"193" 1 9 3 0.002189854 0.296861953
"48" 1 10 1 0.004361919 0.538762628
"109" 1 10 3 0.004461638 0.425484033
"198" 1 10 3 3.77e-05 0.573155851
"11" 1 11 1 0.001052083 0.406697746
"55" 1 11 3 0.002814426 0.130729427
"121" 1 11 2 0.003936769 0.240583343
"199" 1 11 2 0.001928378 0.049343817
"13" 1 12 3 0.003117033 0.345690941
"52" 1 12 3 0.000561324 0.578686251
"41" 1 13 3 0.000722381 0.085269093
"59" 1 13 1 0.005335156 0.409165107
"143" 1 13 1 0.002672311 0.36551498
"156" 1 13 2 0.003241577 0.557663926
"165" 1 13 2 0.00116705 0.289837263
"6" 1 14 2 0.003849643 0.50908489
"36" 1 14 1 0.001435753 0.041348114
"40" 1 14 1 0.004539928 0.255594059
"107" 1 14 3 0.000794242 0.233460736
"144" 1 14 3 0.004103012 0.27224961
"184" 1 14 3 0.005433775 0.570811576
"145" 1 15 2 0.004211207 0.498285373
"2" 1 16 2 0.005403441 0.588175869
"16" 1 16 3 0.001360885 0.401758012
"30" 1 16 1 0.004084774 0.378917223
"162" 1 16 1 0.00451351 0.303442747
"180" 1 16 1 0.000609799 0.128807964
"37" 1 17 1 0.000438356 0.304338701
"56" 1 18 2 0.000606092 0.35539072
"67" 1 18 3 0.002552323 0.06535235
"177" 1 18 3 0.004194687 0.341085043
"188" 1 18 1 0.002497631 0.256833337
"94" 1 19 2 0.003667302 0.382742486
"105" 1 19 2 0.004372714 0.374222885
"138" 1 19 2 0.004186555 0.170413819
"154" 1 19 1 0.00018085 0.14368652
"191" 1 19 2 0.004139387 0.190705048
"10" 1 20 1 0.001654134 0.072276323
"3" 2 1 1 0.000659422 0.3021848
"111" 2 1 3 0.003183046 0.466669081
"79" 2 2 1 0.001061807 0.349618696
"130" 2 2 1 0.00392028 0.511883267
"60" 2 3 1 0.001093353 0.486688078
"115" 2 3 1 0.004613488 0.397062008
"118" 2 3 3 0.00493067 0.472574838
"7" 2 4 3 0.002666717 0.422543912
"108" 2 4 1 0.003434065 0.32655386
"47" 2 5 3 0.002554249 0.129011619
"168" 2 5 2 0.001220667 0.065177633
"17" 2 6 2 0.001287039 0.323838886
"98" 2 6 2 0.001862846 0.59742892
"124" 2 6 1 0.002788798 0.108155448
"164" 2 6 1 0.001360685 0.044638808
"28" 2 7 3 0.003384498 0.10374208
"150" 2 7 2 0.003321843 0.061653902
"4" 2 8 2 0.001432274 0.159577263
"114" 2 8 1 0.000543274 0.487406492
"129" 2 8 1 0.005353 0.3695237
"163" 2 8 1 0.004332754 0.032988939
"44" 2 9 1 0.001519347 0.59634156
"128" 2 9 2 0.003797513 0.365310292
"54" 2 11 3 0.001333196 0.194255167
"100" 2 11 2 0.00325193 0.247435804
"33" 2 12 2 0.005628259 0.018166724
"58" 2 12 1 0.005867754 0.402802987
"76" 2 12 2 0.00031757 0.039889791
"81" 2 12 3 0.002114911 0.457433971
"120" 2 12 2 0.002099288 0.184686635
"122" 2 12 3 0.001614399 0.381520503
"110" 2 13 1 0.004512785 0.158952786
"63" 2 14 2 0.001017193 0.52477172
"64" 2 15 3 0.005043527 0.276830526
"140" 2 15 2 0.002027569 0.407621017
"197" 2 15 2 0.003364037 0.085576479
"34" 2 16 2 0.001129798 0.239715262
"42" 2 17 2 0.001526061 0.095455867
"46" 2 17 1 0.001841789 0.16173038
"189" 2 17 2 0.000535381 0.232251754
"106" 2 18 2 0.00043081 0.401449374
"112" 2 18 2 0.004608526 0.485710066
"172" 2 18 1 0.000517155 0.222524891
"43" 2 19 3 0.001004676 0.287352705
"53" 2 19 2 0.001565236 0.348563723
"77" 2 19 1 0.002631377 0.346061033
"175" 2 19 3 0.004912021 0.225181357
"39" 2 20 3 0.004385242 0.166958275
"102" 2 20 3 0.005203266 0.105055904
"73" 3 1 3 0.003667778 0.422629626
"93" 3 1 3 0.002397976 0.593942411
"125" 3 1 2 0.005498639 0.331158555
"142" 3 1 3 0.003195818 0.248042581
"38" 3 2 3 0.003236387 0.153386721
"71" 3 2 3 0.001911167 0.356490649
"78" 3 2 2 0.005352971 0.478726828
"119" 3 2 3 0.002416974 0.345845414
"126" 3 2 3 0.002203695 0.414212253
"131" 3 2 2 0.005725348 0.093891966
"159" 3 2 2 0.004101565 0.546760694
"97" 3 3 1 0.005199921 0.356255043
"21" 3 4 3 0.003593154 0.211139419
"51" 3 4 3 0.00404464 0.05156308
"29" 3 5 3 0.004208842 0.133688584
"132" 3 6 3 0.003886955 0.234631361
"174" 3 6 3 0.003285329 0.570994475
"50" 3 7 2 0.00493085 0.125482208
"90" 3 7 3 0.005970188 0.496303141
"91" 3 7 1 7e-05 0.542784278
"133" 3 7 2 0.002262667 0.571243061
"57" 3 8 1 0.001105524 0.554918234
"92" 3 8 2 0.002504734 0.476917825
"35" 3 9 2 0.003063266 0.08788639
"65" 3 9 1 0.004639807 0.322792296
"95" 3 9 3 0.000385309 0.561453494
"194" 3 9 2 0.005478551 0.266655383
"96" 3 11 3 0.000635259 0.492109703
"101" 3 11 3 0.001682572 0.035315998
"179" 3 12 1 0.00399594 0.536853292
"167" 3 13 2 0.00596489 0.057673542
"171" 3 14 1 0.002643647 0.251223253
"66" 3 16 2 0.002636082 0.265893771
"113" 3 16 3 0.000263705 0.123469805
"178" 3 16 3 0.004657212 0.415400995
"24" 3 17 3 0.005730617 0.049806495
"103" 3 17 1 0.004449699 0.155097515
"123" 3 18 3 0.002916706 0.103190885
"173" 3 18 2 0.000305267 0.251480868
"185" 3 18 3 0.000792953 0.379654951
"25" 3 19 2 0.002338454 0.312794776
"82" 3 19 1 0.004434616 0.136627584
"139" 3 20 2 0.002239414 0.444768523
"88" 4 1 1 0.002365411 0.582751454
"160" 4 1 2 0.002030308 0.294889858
"190" 4 1 2 0.00404165 0.396857159
"86" 4 2 3 0.004787813 0.210799017
"158" 4 2 1 0.001493879 0.326816278
"74" 4 3 2 0.004579048 0.424893701
"84" 4 3 3 0.005569158 0.560654478
"15" 4 4 1 0.005276698 0.078861152
"31" 4 4 1 0.004476423 0.038812436
"117" 4 4 1 0.000837464 0.105735381
"49" 4 5 1 0.004157358 0.082029679
"135" 4 5 3 0.00587641 0.124774965
"181" 4 5 3 0.004061627 0.525060599
"68" 4 6 2 0.000208116 0.034005099
"87" 4 6 3 0.005360476 0.172756411
"116" 4 7 3 0.000673886 0.219761176
"9" 4 8 1 0.002779445 0.200226218
"170" 4 8 1 0.001348653 0.587224482
"141" 4 9 1 0.004588895 0.041067652
"151" 4 9 1 0.00455114 0.459652678
"153" 4 9 3 0.004376806 0.597328354
"176" 4 10 2 0.00475332 0.212572359
"182" 4 10 3 5.68e-06 0.206654286
"195" 4 10 1 0.005787961 0.447770698
"89" 4 11 1 0.000968098 0.257285078
"18" 4 13 1 0.002016377 0.272176926
"62" 4 13 3 0.004626501 0.250714698
"136" 4 13 1 0.000256125 0.238008345
"152" 4 13 2 0.004847872 0.218035812
"166" 4 13 1 0.00503526 0.186283585
"14" 4 14 3 0.001398221 0.509808922
"196" 4 14 3 0.003298047 0.496140875
"200" 4 14 1 0.00078676 0.182024261
"22" 4 15 1 0.001431205 0.573555108
"137" 4 15 3 0.001426434 0.269718067
"8" 4 16 3 0.002028763 0.599708239
"169" 4 16 3 0.000865367 0.34704506
"192" 4 16 3 0.001070515 0.178277341
"32" 4 17 1 0.002078716 0.108476281
"134" 4 17 3 0.000209127 0.338965931
"157" 4 17 2 0.001736776 0.563379002
"23" 4 18 2 0.000693516 0.497525062
"149" 4 18 1 0.000524068 0.312732653
"186" 4 18 2 0.002507445 0.46264907
"85" 4 19 3 0.000661676 0.221449624
"148" 4 19 2 0.002153879 0.308551047
"12" 4 20 3 0.003265847 0.113686822
"75" 4 20 1 0.002852535 0.388594937
"146" 4 20 3 0.00012591 0.176106366
